epochs,data_type,macro_f1,micro_f1
0,train,0.20795581341991315,0.4671968190854871
0,test,0.21472939775549835,0.4737400530503979
1,train,0.2999312353986623,0.4487740225314778
1,test,0.2923966130563778,0.44190981432360743
2,train,0.24506176568554688,0.4780649436713055
2,test,0.259596377154966,0.49496021220159153
3,train,0.1600447500118455,0.2674618952948973
3,test,0.17542458155048163,0.2779840848806366
4,train,0.3269479178749356,0.5447316103379721
4,test,0.3433775719824284,0.5586206896551724
5,train,0.24783072651967336,0.45964214711729623
5,test,0.26622572559837177,0.4737400530503979
6,train,0.23178909797444947,0.25473823724320743
6,test,0.23426798158146242,0.25941644562334215
7,train,0.19138005115274417,0.21285619615639495
7,test,0.20077068913395985,0.22122015915119364
8,train,0.07714537714614383,0.10019880715705766
8,test,0.07716974219320925,0.0960212201591512
9,train,0.16473995708426198,0.1851557322730285
9,test,0.182952193326499,0.20159151193633953
10,train,0.1674859768174232,0.1801192842942346
10,test,0.1796770349230746,0.19257294429708224
11,train,0.3110130088813678,0.3769383697813122
11,test,0.31975122539803025,0.3920424403183024
12,train,0.09445863208795953,0.10589794565937709
12,test,0.09192981418785086,0.10450928381962865
13,train,0.16659159806708856,0.18369781312127237
13,test,0.16975570992869726,0.18885941644562332
14,train,0.3978987825935117,0.5313452617627568
14,test,0.40551401288559674,0.5416445623342175
15,train,0.14473456093997125,0.15427435387673957
15,test,0.15328311812792794,0.16074270557029177
16,train,0.20517924536228413,0.22876076872100728
16,test,0.21412260054872362,0.23660477453580903
17,train,0.26962258854990334,0.28614976805831677
17,test,0.27527264716193844,0.29602122015915117
18,train,0.3348606624630017,0.34499668654738236
18,test,0.3401809087760016,0.35596816976127316
19,train,0.4249712400406528,0.4988734261100066
19,test,0.42924912897172174,0.5039787798408488
20,train,0.3683643077410518,0.4389662027833002
20,test,0.35547413823815305,0.43713527851458883
21,train,0.40415679896076817,0.46693174287607686
21,test,0.4171931302977299,0.48222811671087534
22,train,0.16973324481512025,0.1362491716368456
22,test,0.16628489605450716,0.13527851458885942
23,train,0.25903894598571164,0.2597746852220013
23,test,0.27007687888336,0.2726790450928382
24,train,0.172040952356819,0.17216699801192842
24,test,0.17258391501406734,0.17188328912466844
25,train,0.11042030692538896,0.12909211398277004
25,test,0.10854989867597795,0.13262599469496023
26,train,0.44806421260307766,0.5141153081510934
26,test,0.46159905113355215,0.5320954907161803
27,train,0.39182204677542565,0.48177601060304837
27,test,0.39785876485620897,0.48753315649867374
28,train,0.4683069461489251,0.512127236580517
28,test,0.4898808192098755,0.5352785145888594
29,train,0.4649732050753834,0.5734923790589794
29,test,0.48407056384621977,0.583554376657825
30,train,0.38627298319731074,0.4037110669317429
30,test,0.395329807241435,0.41379310344827586
31,train,0.2556380966852457,0.2390987408880053
31,test,0.24507340827601382,0.2323607427055703
32,train,0.17893270373682502,0.21563949635520213
32,test,0.17879689056554943,0.21909814323607427
33,train,0.20813657043679606,0.18330019880715706
33,test,0.22424602530087673,0.1920424403183024
34,train,0.43655023321033326,0.5200795228628231
34,test,0.4303944527200789,0.5151193633952255
35,train,0.39789302839833435,0.40424121935056323
35,test,0.4059299160564563,0.4095490716180371
36,train,0.1599657932865161,0.15666003976143142
36,test,0.16543082606420864,0.16551724137931034
37,train,0.33462649048596443,0.4106030483764082
37,test,0.3511928041877844,0.41273209549071616
38,train,0.12250666608167918,0.15308151093439365
38,test,0.12381247092581138,0.15809018567639258
39,train,0.1218875079286879,0.14738237243207422
39,test,0.13730780978666238,0.16445623342175067
40,train,0.24116612491218964,0.26587143803843605
40,test,0.2300463649707963,0.2610079575596817
41,train,0.4766819026654588,0.5424784625579854
41,test,0.4731956968186597,0.5464190981432361
42,train,0.2145831533516477,0.23392975480450628
42,test,0.1976806407209161,0.22546419098143236
43,train,0.27215426156190514,0.28349900596421473
43,test,0.2684793472532955,0.2827586206896552
44,train,0.37566991730341803,0.38740888005301527
44,test,0.36274113388430024,0.3787798408488064
45,train,0.3195296354116076,0.34035785288270376
45,test,0.2999662156147849,0.3273209549071618
46,train,0.2674990755250656,0.27594433399602386
46,test,0.25340511411532674,0.2636604774535809
47,train,0.4843001526938389,0.5257786613651425
47,test,0.46968425757944027,0.5119363395225465
48,train,0.4675353253721977,0.49860834990059644
48,test,0.45690001627258126,0.49230769230769234
49,train,0.6769093449292914,0.7512259774685222
49,test,0.6687656119887183,0.7485411140583554
50,train,0.5295065568928452,0.5943008614976806
50,test,0.5081637391776126,0.5740053050397877
51,train,0.499549948282296,0.5427435387673957
51,test,0.4881252971116116,0.5326259946949602
52,train,0.38165083210615197,0.3994698475811796
52,test,0.3621068488316295,0.38620689655172413
53,train,0.5710000840902215,0.6233267064280981
53,test,0.5536150212622383,0.6074270557029178
54,train,0.5997283521681221,0.717428760768721
54,test,0.6051999684743475,0.7172413793103447
55,train,0.5464268427064674,0.6194831013916501
55,test,0.5139517260174696,0.5941644562334217
56,train,0.38076579916678194,0.6364479787939032
56,test,0.3864404247620617,0.6445623342175066
57,train,0.5916478884081495,0.6789927104042413
57,test,0.5932550614706834,0.6763925729442971
58,train,0.37399617263505125,0.660702451954937
58,test,0.3678982617994879,0.6615384615384615
59,train,0.5858607593117539,0.6512922465208748
59,test,0.5580108186168322,0.6275862068965518
60,train,0.495386242403138,0.6054340622929092
60,test,0.49263123185097657,0.5994694960212201
61,train,0.472697677598595,0.5282968853545394
61,test,0.44337017435943027,0.5007957559681697
62,train,0.4337713938295842,0.6512922465208748
62,test,0.4140289734421515,0.6344827586206897
63,train,0.3152018299732281,0.5603711066931742
63,test,0.30912485012833407,0.5618037135278514
64,train,0.49955570930262255,0.6573889993373094
64,test,0.4791565906261928,0.6503978779840849
65,train,0.5678968052115512,0.6901259111994699
65,test,0.5335055449216755,0.6679045092838196
66,train,0.6324086420479424,0.6828363154406892
66,test,0.5999547467818116,0.6535809018567639
67,train,0.49627797802932,0.5261762756792577
67,test,0.46998431772295535,0.5082228116710875
68,train,0.4924752731861174,0.6133863485752153
68,test,0.461132060096766,0.5915119363395226
69,train,0.5145034894694268,0.620675944333996
69,test,0.4983607514803242,0.6127320954907162
70,train,0.5750516532817544,0.6507620941020543
70,test,0.5269992088800073,0.6153846153846154
71,train,0.5033450116265392,0.5652750165672631
71,test,0.4827673732509794,0.553315649867374
72,train,0.3301404916609093,0.5036447978793903
72,test,0.3086689308702339,0.4854111405835544
73,train,0.32549527540563056,0.29502982107355863
73,test,0.2968979542509661,0.2774535809018568
74,train,0.42051074175203107,0.508416169648774
74,test,0.3963443940866178,0.4954907161803713
75,train,0.6591409903801224,0.7391650099403578
75,test,0.6262586823665691,0.7108753315649867
76,train,0.4958151021679738,0.5306825712392312
76,test,0.4525364475557899,0.49124668435013263
77,train,0.6158391313446511,0.6797879390324718
77,test,0.5803128405998034,0.6541114058355437
78,train,0.6291630458254004,0.6996686547382373
78,test,0.5869793788357689,0.6663129973474801
79,train,0.6543019391691286,0.7286944996686547
79,test,0.6258491920405153,0.6992042440318302
80,train,0.5134428793038516,0.5520212060967529
80,test,0.49123609548784974,0.5310344827586206
81,train,0.5530019823088249,0.6473161033797217
81,test,0.514332787560766,0.6217506631299735
82,train,0.5772874812830857,0.6226640159045725
82,test,0.5540955134230735,0.5946949602122016
83,train,0.42331863483898624,0.42717031146454604
83,test,0.39789136643703127,0.4079575596816976
84,train,0.45162891634550606,0.47183565275016565
84,test,0.4318366526987427,0.45517241379310347
85,train,0.5686135782186307,0.6083499005964215
85,test,0.5260362550566613,0.563395225464191
86,train,0.46590770419495076,0.5133200795228628
86,test,0.44023723545630594,0.4917771883289125
87,train,0.3443681087662787,0.3472498343273691
87,test,0.3383754852494469,0.34535809018567637
88,train,0.33220579031652464,0.35347912524850894
88,test,0.30755168930971705,0.3257294429708223
89,train,0.34525372045922986,0.3465871438038436
89,test,0.32344436172488167,0.3283819628647215
90,train,0.4680207586449126,0.47912524850894633
90,test,0.43658419436914997,0.4525198938992042
91,train,0.5130488796194197,0.5469847581179589
91,test,0.4766375360240575,0.5151193633952255
92,train,0.47310163038829733,0.5065606361829026
92,test,0.43559191845986184,0.4816976127320955
93,train,0.4058250297070002,0.4307488402915838
93,test,0.3855896858657798,0.4196286472148541
94,train,0.3142080728629479,0.3118621603711067
94,test,0.2989930738031934,0.3039787798408488
95,train,0.4801537514582185,0.5366467859509609
95,test,0.4733304174536036,0.5310344827586206
96,train,0.6951301161778052,0.7530815109343937
96,test,0.6566881356387194,0.7220159151193634
97,train,0.49006686215473716,0.5326706428098078
97,test,0.45036275269453546,0.49761273209549073
98,train,0.2915966648206256,0.3007289595758781
98,test,0.2789600233526922,0.2885941644562334
99,train,0.6485810433880241,0.7219350563286944
99,test,0.6045318941667606,0.6806366047745358
