epochs,data_type,macro_f1,micro_f1
0,train,0.5164031636390238,0.6746189529489728
0,test,0.5444429856431283,0.6790450928381963
1,train,0.22052573186602759,0.2832339297548045
1,test,0.23452262087130507,0.30185676392572947
2,train,0.42736452420040755,0.5785288270377733
2,test,0.4364204603865221,0.583554376657825
3,train,0.3756018158378171,0.503247183565275
3,test,0.37761652593956585,0.5007957559681697
4,train,0.4225812603665416,0.5791915175612988
4,test,0.4232692119156488,0.5846153846153846
5,train,0.4358370889361914,0.5449966865473824
5,test,0.43810780878908695,0.5442970822281167
6,train,0.5491361696881281,0.676076872100729
6,test,0.5594848209787805,0.6705570291777189
7,train,0.43885212956290076,0.5920477137176938
7,test,0.4279762824345406,0.583554376657825
8,train,0.621885767930996,0.7044400265076209
8,test,0.6062219439682637,0.6896551724137931
9,train,0.5756119080187558,0.6520874751491054
9,test,0.5852085280733259,0.6525198938992043
10,train,0.41234188682975814,0.4983432736911862
10,test,0.4278845668670829,0.5108753315649868
11,train,0.5343921369628404,0.6776673293571902
11,test,0.528598536662624,0.6647214854111406
12,train,0.5985471196520351,0.7300198807157059
12,test,0.6063442323175342,0.7214854111405835
13,train,0.5141935253399248,0.6031809145129224
13,test,0.5240438302607965,0.6063660477453581
14,train,0.5802926516584488,0.723658051689861
14,test,0.5696675512594769,0.7140583554376658
15,train,0.4298865321037423,0.5208747514910537
15,test,0.43249618983463495,0.5193633952254642
16,train,0.7094547640340991,0.7931080185553347
16,test,0.6780293827462691,0.7692307692307693
17,train,0.6508697952299863,0.7752153744201458
17,test,0.6352001149839805,0.7586206896551724
18,train,0.6132286432102094,0.7199469847581179
18,test,0.5897417080303724,0.7029177718832891
19,train,0.5448740634745346,0.6136514247846255
19,test,0.5301771137359588,0.6090185676392573
20,train,0.5536708364466139,0.6557985420808482
20,test,0.5469086379067893,0.6408488063660478
21,train,0.6347150590865677,0.7719019218025182
21,test,0.6236188410679776,0.7564986737400531
22,train,0.7406779868300228,0.827170311464546
22,test,0.726067973252091,0.8127320954907162
23,train,0.7385080483088295,0.801192842942346
23,test,0.7079742366651678,0.7623342175066313
24,train,0.4135061228567237,0.4728959575878065
24,test,0.41698892649912284,0.48381962864721484
25,train,0.7369755482693569,0.8166998011928429
25,test,0.724906619145909,0.8058355437665782
26,train,0.6966347594432353,0.7673956262425448
