epochs,data_type,macro_f1,micro_f1
0,train,0.37774351939581924,0.5373094764744865
0,test,0.3800926699387449,0.5294429708222812
1,train,0.537046387276415,0.6560636182902585
1,test,0.520000130769136,0.6360742705570291
2,train,0.5768025237476285,0.6858846918489065
2,test,0.5718473248330808,0.6811671087533157
3,train,0.3481567540814302,0.3940357852882704
3,test,0.35384377741784795,0.39946949602122017
4,train,0.4632856985533401,0.5392975480450629
4,test,0.4572829597775597,0.5448275862068965
5,train,0.5623988517060907,0.6649436713055004
5,test,0.5515485329841787,0.6546419098143236
6,train,0.5653857386485005,0.6145791915175614
6,test,0.569561290065089,0.6079575596816976
7,train,0.503679281655655,0.650364479787939
7,test,0.5162378652804784,0.6557029177718833
8,train,0.5790137034987485,0.6506295559973493
8,test,0.560131207110336,0.6281167108753316
9,train,0.4669142262403021,0.5298873426110007
9,test,0.4639109369391072,0.5257294429708222
10,train,0.5146312046708326,0.5737574552683896
10,test,0.5248442503999592,0.5708222811671088
11,train,0.5971532216308215,0.6767395626242545
11,test,0.5967802586332346,0.6726790450928382
12,train,0.6210793701368476,0.7304174950298211
12,test,0.6108725490473196,0.7251989389920425
13,train,0.5098363764696293,0.5597084161696487
13,test,0.5076224174976798,0.5448275862068965
14,train,0.547380172036695,0.5851557322730285
14,test,0.538924824726624,0.5755968169761273
15,train,0.5994068002705764,0.6626905235255136
15,test,0.585991327260098,0.6413793103448275
16,train,0.6276996802799394,0.6840291583830351
16,test,0.6115717589731927,0.6663129973474801
17,train,0.6826315720539169,0.7562624254473163
17,test,0.6677758353445924,0.7453580901856764
18,train,0.4750724257237894,0.5493704440026508
18,test,0.460242979354483,0.5310344827586206
19,train,0.5869977731045017,0.6499668654738238
19,test,0.5718788082031127,0.6376657824933687
20,train,0.632556942437629,0.7314777998674619
20,test,0.6292245399443168,0.7214854111405835
21,train,0.6609265114988587,0.7244532803180914
21,test,0.6466432869085114,0.7108753315649867
22,train,0.8201459064075658,0.8629555997349238
22,test,0.8040566966761793,0.8488063660477454
23,train,0.6588104057016417,0.7154406891981445
23,test,0.6445802140883717,0.7007957559681698
24,train,0.6261082338384605,0.6546056991385023
24,test,0.5960102917710173,0.6259946949602122
25,train,0.6147480583440101,0.6287607687210073
25,test,0.5879594286644073,0.6148541114058356
26,train,0.7147368939939163,0.7615639496355202
26,test,0.6750462614869231,0.7289124668435013
27,train,0.6441274603882177,0.7178263750828363
27,test,0.6320892732992265,0.707161803713528
28,train,0.6892677108942088,0.7565275016567264
28,test,0.6719107324112541,0.7416445623342175
29,train,0.7201437085234375,0.7679257786613651
29,test,0.6951866941808286,0.7453580901856764
30,train,0.7230323555215581,0.7805168986083499
30,test,0.6922130065189878,0.7543766578249337
31,train,0.7295702381885937,0.794698475811796
31,test,0.6897785500957034,0.76657824933687
32,train,0.6169789530660985,0.6706428098078198
32,test,0.5774032788152572,0.6318302387267904
33,train,0.635504911658164,0.6938369781312127
33,test,0.6142654719180815,0.6742705570291777
34,train,0.7237479046473563,0.7905897945659378
34,test,0.6866694624919873,0.7618037135278515
35,train,0.6810829873180444,0.7699138502319417
35,test,0.6538524480951983,0.7501326259946951
36,train,0.7480636231233326,0.7953611663353214
36,test,0.7078936640295883,0.7633952254641909
37,train,0.7527967645051236,0.8096752816434725
37,test,0.728727790384354,0.789920424403183
38,train,0.7644291459854732,0.8100728959575878
38,test,0.7174799721066284,0.7655172413793103
39,train,0.7798528590481781,0.8132538104705103
39,test,0.7163092565857156,0.7676392572944297
40,train,0.7406510086017718,0.7879390324718356
40,test,0.6850237662644696,0.743236074270557
41,train,0.840555700786237,0.8803180914512923
41,test,0.758118156940301,0.8217506631299735
42,train,0.84302619806205,0.8760768721007289
42,test,0.7608385402758537,0.8212201591511936
43,train,0.7480285039079752,0.7957587806494367
43,test,0.6936851509773984,0.7496021220159151
44,train,0.7629263020661561,0.8127236580516899
44,test,0.6764653481146888,0.7379310344827587
45,train,0.7627803556108027,0.8249171636845594
45,test,0.7072226274975147,0.7883289124668436
46,train,0.8402054001435733,0.8785950960901259
46,test,0.7463538338762026,0.8068965517241379
47,train,0.8126876075928102,0.847713717693837
47,test,0.7297161047643554,0.7782493368700265
48,train,0.8098109425742344,0.8527501656726308
48,test,0.7308796654545215,0.7925729442970822
49,train,0.8084135265121694,0.8593770709078861
49,test,0.7163987727330234,0.7877984084880636
50,train,0.7201315979312725,0.7721669980119285
50,test,0.6563908924389563,0.7220159151193634
51,train,0.8359826249553095,0.8767395626242545
51,test,0.76312777655685,0.8201591511936339
52,train,0.8266735940660939,0.8393638170974154
52,test,0.7310970000040633,0.7708222811671087
53,train,0.8177038342593275,0.8560636182902583
53,test,0.7284885902264204,0.7920424403183024
54,train,0.8382668485722791,0.8644135188866799
54,test,0.7547400294324162,0.7984084880636605
55,train,0.8555658202039069,0.8890656063618291
55,test,0.7622941492693486,0.8212201591511936
56,train,0.8878986908618225,0.908416169648774
56,test,0.7867742859405018,0.8392572944297082
57,train,0.8825245208560883,0.90311464546057
57,test,0.7844270852081578,0.8275862068965517
58,train,0.8921655699031668,0.9092113982770046
58,test,0.7864871141313219,0.8387267904509284
59,train,0.8415007499233196,0.8581842279655401
59,test,0.7626209881868856,0.7973474801061008
60,train,0.894518055564227,0.9170311464546057
60,test,0.7728237924873026,0.8254641909814323
61,train,0.8811929455976217,0.8963552021206098
61,test,0.7699789963409617,0.8122015915119364
62,train,0.8848169947781788,0.9100066269052353
62,test,0.7774476109940144,0.8344827586206898
63,train,0.788341736347391,0.8131212723658051
63,test,0.7035000383733467,0.7437665782493369
64,train,0.9093509940229565,0.92909211398277
64,test,0.7947119484026184,0.8413793103448276
65,train,0.8774508860030533,0.9017892644135189
65,test,0.7618712889519381,0.8180371352785146
66,train,0.8811020204381463,0.9062955599734924
66,test,0.7788893544392592,0.8323607427055703
67,train,0.8906623788621735,0.9065606361829026
67,test,0.765328549861666,0.8148541114058355
68,train,0.8200129933048428,0.860702451954937
68,test,0.7343083382581881,0.7946949602122015
69,train,0.8702434451081815,0.8894632206759442
69,test,0.7661407325772746,0.8095490716180371
70,train,0.8535925152092337,0.8861497680583168
70,test,0.7571256130930843,0.8063660477453581
71,train,0.8755842329395943,0.9035122597746852
71,test,0.7632747509819253,0.8201591511936339
72,train,0.8902927438007906,0.9195493704440026
72,test,0.774633765313155,0.8355437665782494
73,train,0.8495347831478506,0.8898608349900596
73,test,0.7503796874924088,0.8095490716180371
74,train,0.8619917907598749,0.8976805831676608
74,test,0.7609413046026997,0.8206896551724138
75,train,0.8755316878730428,0.9089463220675944
75,test,0.7757325777816885,0.8381962864721485
76,train,0.880965053091869,0.9027170311464546
76,test,0.7687953094553087,0.8180371352785146
77,train,0.7892083597665419,0.833664678595096
77,test,0.7032347139390358,0.7660477453580903
78,train,0.9169391051380129,0.9338634857521537
78,test,0.8027270400545523,0.8530503978779841
79,train,0.9211849098050994,0.9402253147779986
79,test,0.804542274630531,0.8562334217506631
80,train,0.8911872451257252,0.894102054340623
80,test,0.7650504466235898,0.8021220159151194
