epochs,data_type,macro_f1,micro_f1
0,train,0.6409818234463325,0.7867461895294898
0,test,0.6437345244862666,0.7840848806366048
1,train,0.7563331296323597,0.8384360503644798
1,test,0.74729770585911,0.8281167108753316
2,train,0.6650499937901551,0.7834327369118622
2,test,0.6750623683107623,0.7862068965517242
3,train,0.727583402963574,0.8046388336646786
3,test,0.7050038000669667,0.7877984084880636
4,train,0.715938213918632,0.8022531477799867
4,test,0.7063191036824678,0.7931034482758621
5,train,0.7816722519952425,0.8447978793903247
5,test,0.7500177081320931,0.8148541114058355
6,train,0.7978413077734461,0.8648111332007953
6,test,0.7811400919052061,0.843501326259947
7,train,0.5976707192923882,0.6979456593770709
7,test,0.561620950959514,0.6668435013262599
8,train,0.7344204559636973,0.7904572564612324
8,test,0.6934895374425321,0.7575596816976128
9,train,0.7747095577220893,0.8470510271703113
9,test,0.7272618019902269,0.8164456233421751
10,train,0.7210702151754707,0.7748177601060305
10,test,0.6789171099295107,0.7405835543766578
11,train,0.8552014130293465,0.8923790589794566
11,test,0.7831299521740371,0.8312997347480106
12,train,0.8089844431348961,0.849039098740888
12,test,0.7531311678831475,0.8063660477453581
13,train,0.7457249281010977,0.8010603048376407
13,test,0.6970322957463804,0.7612732095490716
14,train,0.7990455067819632,0.8540755467196819
14,test,0.7388976252097514,0.8053050397877984
15,train,0.8496251984670924,0.8934393638170974
15,test,0.7755848282957822,0.8318302387267904
16,train,0.7974564143026457,0.8587143803843605
16,test,0.734646120303057,0.8106100795755968
17,train,0.8443839144368557,0.8732935719019218
17,test,0.7527572926221442,0.8106100795755968
18,train,0.7853263604310226,0.8498343273691186
18,test,0.6925815832329791,0.7835543766578249
19,train,0.8099428310489666,0.8588469184890656
19,test,0.7149219265812107,0.7872679045092839
20,train,0.8401082080087974,0.8897282968853545
20,test,0.764730552539983,0.8286472148541114
21,train,0.8369604952390703,0.8734261100066268
21,test,0.7250119972241215,0.7957559681697612
22,train,0.8687112103500272,0.9057654075546719
22,test,0.7738531366426876,0.8328912466843501
