epochs,data_type,macro_f1,micro_f1
0,train,0.12786293958521192,0.46984758117958914
0,test,0.12789606640202095,0.47002652519893906
1,train,0.17398870034192865,0.16964877402253148
1,test,0.169017940158594,0.16710875331564987
2,train,0.25157055666549877,0.3065606361829026
2,test,0.25758145236238195,0.3183023872679045
3,train,0.2646364719474023,0.5436713055003314
3,test,0.29326683056965813,0.5411140583554377
4,train,0.45417339915647315,0.6112657388999337
4,test,0.4721384452589417,0.6164456233421751
5,train,0.4382544934474456,0.6131212723658052
5,test,0.4387593123304699,0.6185676392572944
6,train,0.4777577505201654,0.6075546719681909
6,test,0.5107221255407065,0.6286472148541115
7,train,0.4295678295550401,0.6286282306163022
7,test,0.4562924902573446,0.640318302387268
8,train,0.430179599295892,0.532803180914513
8,test,0.45013377805601607,0.5384615384615384
9,train,0.42919202351097596,0.49463220675944336
9,test,0.4544671903975255,0.5289124668435013
10,train,0.38752205695238173,0.45818422796554004
10,test,0.4032358502979735,0.4742705570291777
11,train,0.5622379915566409,0.6532803180914513
11,test,0.5563070036039033,0.6519893899204244
12,train,0.22768794344742674,0.21855533465871438
12,test,0.24008830436190537,0.23183023872679046
13,train,0.4104104994788561,0.4784625579854208
13,test,0.41241534764523885,0.49230769230769234
14,train,0.23815213296347043,0.249039098740888
14,test,0.23393172881606658,0.2530503978779841
15,train,0.3134734273851935,0.37004638833664677
15,test,0.32931480458319917,0.39363395225464193
16,train,0.2520222715623436,0.281245858184228
16,test,0.2528827286304747,0.2896551724137931
17,train,0.3360444432758466,0.3797216699801193
17,test,0.35322679408998486,0.4000000000000001
18,train,0.49746971546861574,0.6015904572564612
18,test,0.48688469426393566,0.6005305039787798
19,train,0.5299255756688783,0.5738899933730948
19,test,0.5244688846478656,0.5665782493368701
20,train,0.32399474558787394,0.34406891981444665
20,test,0.32231743163396687,0.3485411140583554
21,train,0.49378708350394884,0.6043737574552683
21,test,0.49498122757764873,0.6037135278514589
22,train,0.286995242004054,0.3172962226640159
22,test,0.2841842990074838,0.3193633952254642
23,train,0.36084160146794353,0.4304837640821736
23,test,0.3634322730167037,0.4360742705570292
24,train,0.6417420710749806,0.7304174950298211
24,test,0.6345756561971589,0.7225464190981432
25,train,0.21260618991124317,0.23061630218687873
25,test,0.21033982247567748,0.23076923076923078
26,train,0.5840646177972643,0.6269052352551359
26,test,0.5910667153287511,0.6302387267904509
27,train,0.6107598325819037,0.6446653412856196
27,test,0.599749811903099,0.6381962864721485
28,train,0.5722557762621134,0.6534128561961564
28,test,0.5799596610624933,0.6509283819628647
29,train,0.5421399872849652,0.6033134526176276
29,test,0.5376087029030903,0.6031830238726791
30,train,0.5776142800883396,0.6666666666666666
30,test,0.5799592069100137,0.673209549071618
31,train,0.5616620877313984,0.5927104042412193
31,test,0.5516117584130066,0.5877984084880636
32,train,0.6158105194482523,0.7269715043074884
32,test,0.5823371778228276,0.7246684350132625
33,train,0.6659756157854158,0.7570576540755468
33,test,0.6495448996130916,0.7437665782493369
34,train,0.6128110498698569,0.7013916500994036
34,test,0.5893217197565381,0.6859416445623342
35,train,0.6652864873141704,0.7334658714380384
35,test,0.6470461620101602,0.7204244031830238
36,train,0.5202290519587788,0.5555997349237906
36,test,0.5100523340186033,0.5490716180371353
37,train,0.512052710698023,0.5669980119284295
37,test,0.49045078270406284,0.5570291777188329
38,train,0.7340053259823885,0.8124585818422797
38,test,0.7150196538925324,0.7931034482758621
39,train,0.6798534247970063,0.7293571901921803
39,test,0.6411823063937812,0.6976127320954907
40,train,0.6100212450976903,0.6557985420808482
40,test,0.5991700073063743,0.640318302387268
41,train,0.757840320120386,0.818025182239894
41,test,0.7175621826478712,0.7846153846153847
