epochs,data_type,macro_f1,micro_f1
0,train,0.11291883089869612,0.10483764082173624
0,test,0.10428497213121671,0.10185676392572944
1,train,0.2517320829681058,0.3504307488402916
1,test,0.2396543274205317,0.33793103448275863
2,train,0.24402673426178062,0.4963552021206097
2,test,0.23851371495334345,0.496551724137931
3,train,0.25410361730076314,0.5114645460569914
3,test,0.26856096394165485,0.5225464190981433
4,train,0.2789262848468015,0.5203445990722333
4,test,0.2855495393261823,0.5257294429708222
5,train,0.24768316540613586,0.5155732273028496
5,test,0.23910860327415734,0.5124668435013262
6,train,0.33495349039507766,0.5300198807157057
6,test,0.32432055208989213,0.5225464190981433
7,train,0.28207820370535974,0.4675944333996024
7,test,0.2732558143397911,0.4647214854111406
8,train,0.30604364626672975,0.5530815109343936
8,test,0.31131267444856875,0.5570291777188329
9,train,0.30929051121676215,0.45884691848906556
9,test,0.30383920145940635,0.4557029177718833
10,train,0.27670868838262974,0.3652750165672631
10,test,0.2887107061705743,0.3814323607427056
11,train,0.3111065630303967,0.38873426110006626
11,test,0.32053127646109136,0.40742705570291776
12,train,0.1474129889314178,0.15347912524850896
12,test,0.14569272248707182,0.15490716180371353
13,train,0.09674526884660738,0.09463220675944335
13,test,0.08743852173205278,0.08806366047745358
14,train,0.23382223867093294,0.23817097415506958
14,test,0.2253126178436692,0.23819628647214855
15,train,0.29001286984840596,0.32087475149105366
15,test,0.3028789510446814,0.3411140583554377
16,train,0.39566693968689226,0.4775347912524851
16,test,0.40249973117856347,0.49124668435013263
17,train,0.4400986757074691,0.5430086149768059
17,test,0.47531579390804735,0.573474801061008
18,train,0.32908782582952983,0.38237243207422134
18,test,0.3393899490489102,0.4037135278514589
19,train,0.4597800648783644,0.5944333996023857
19,test,0.4843151267981611,0.6106100795755968
20,train,0.42541655829196,0.5696487740225314
20,test,0.43929327794737183,0.5809018567639257
21,train,0.3978402018561179,0.6172299536116633
21,test,0.4139240835612933,0.6254641909814324
22,train,0.4391872941568208,0.614314115308151
22,test,0.4691839700946735,0.6360742705570291
23,train,0.3998975410099399,0.5398277004638834
23,test,0.3955101491045959,0.5336870026525199
24,train,0.3313810430438633,0.42279655400927774
24,test,0.3356457518819881,0.42652519893899205
25,train,0.49092998761914697,0.643870112657389
25,test,0.507388613624506,0.6551724137931034
26,train,0.517614258813033,0.5924453280318092
26,test,0.5338556204931701,0.6063660477453581
27,train,0.2979117922337774,0.353611663353214
27,test,0.2919319240481632,0.3506631299734748
28,train,0.4263311316671305,0.5334658714380385
28,test,0.43526741820668224,0.5405835543766578
29,train,0.5282269413564101,0.668389662027833
29,test,0.5440269035676646,0.6785145888594164
30,train,0.4568903057230326,0.5704440026507621
30,test,0.47446795024218913,0.5830238726790451
31,train,0.39237041459249433,0.5889993373094765
31,test,0.39859912475945347,0.5978779840848807
32,train,0.39153513085748015,0.3994698475811796
32,test,0.3920884635295542,0.4079575596816976
33,train,0.3424508701204468,0.3801192842942345
33,test,0.3555544068356603,0.3957559681697613
34,train,0.4315677574532798,0.49012591119946985
34,test,0.429759337189976,0.48594164456233424
35,train,0.4325740744411191,0.4449304174950298
35,test,0.42797829843656976,0.4424403183023873
36,train,0.575624721009372,0.6869449966865474
36,test,0.5677336575354088,0.6774535809018568
37,train,0.47721763901425057,0.6063618290258449
37,test,0.49444053695184725,0.6079575596816976
38,train,0.49470114130650134,0.5366467859509609
38,test,0.4938423360724524,0.5379310344827586
39,train,0.40298738767136727,0.44174950298210736
39,test,0.4141864577996854,0.4546419098143236
40,train,0.5376970450832701,0.6156394963552021
40,test,0.5293387625412306,0.6063660477453581
41,train,0.5802476287885858,0.6964877402253148
41,test,0.5636900634417505,0.6859416445623342
42,train,0.3050161765533025,0.3203445990722333
42,test,0.30629995737715193,0.3230769230769231
43,train,0.5136034736573818,0.5546719681908548
43,test,0.5282259951168109,0.5697612732095491
44,train,0.3559894736115382,0.4190854870775348
44,test,0.3562041031223629,0.4244031830238727
45,train,0.47248958998799384,0.605168986083499
45,test,0.4657390605835333,0.6026525198938992
46,train,0.4378950364382156,0.454208084824387
46,test,0.43666935969561305,0.4525198938992042
47,train,0.4019688473264253,0.46984758117958914
47,test,0.4074955384193329,0.48381962864721484
48,train,0.4997887313305919,0.5141153081510934
48,test,0.5082345894303743,0.5214854111405836
49,train,0.42395226665833147,0.4730284956925116
49,test,0.41911455180601925,0.46578249336870026
50,train,0.5296024379837411,0.6575215374420146
50,test,0.5320230906347418,0.659946949602122
51,train,0.36566578137894057,0.41126573889993373
51,test,0.3781149114649537,0.4143236074270557
52,train,0.362547865945244,0.35400927766732937
52,test,0.3771262422938107,0.3676392572944297
53,train,0.40890397344728086,0.4458581842279655
53,test,0.40193479430249457,0.43713527851458883
54,train,0.4082706213730914,0.42319416832339296
54,test,0.40769425357430783,0.4249336870026525
55,train,0.5296942387865939,0.6432074221338635
55,test,0.5302744022590445,0.6392572944297082
56,train,0.5598481405495906,0.6654738237243207
56,test,0.5477017455506362,0.6530503978779841
57,train,0.5540525775293303,0.6190854870775347
57,test,0.5316182851449461,0.6047745358090185
58,train,0.41326274263172014,0.46070245195493703
58,test,0.39998294108597965,0.4546419098143236
59,train,0.3733926391461372,0.40609675281643465
59,test,0.3677970232589224,0.396816976127321
60,train,0.3436146183887909,0.3313452617627568
60,test,0.3497568496838102,0.33421750663129973
61,train,0.2963870908171354,0.3171636845593108
61,test,0.3094037447978259,0.32785145888594164
62,train,0.448236803076936,0.4934393638170974
62,test,0.4532755575994738,0.4981432360742706
