epochs,data_type,macro_f1,micro_f1
0,train,0.4664231264378573,0.5990722332670643
0,test,0.4506469398031275,0.589920424403183
1,train,0.6081896768351259,0.7065606361829025
1,test,0.6067975377035386,0.7082228116710876
2,train,0.7050620535069767,0.7956262425447316
2,test,0.706512811589294,0.7931034482758621
3,train,0.642708982855065,0.730284956925116
3,test,0.6344261886141291,0.7241379310344829
4,train,0.684612173050574,0.76779324055666
4,test,0.6602168874275665,0.7490716180371354
5,train,0.6423800473433913,0.7049701789264413
5,test,0.6106327078755449,0.6795755968169761
6,train,0.7567454240651244,0.8178926441351889
6,test,0.7157701212211216,0.7809018567639258
7,train,0.6925256828846647,0.7534791252485088
7,test,0.6724708714382571,0.736870026525199
8,train,0.7709094208028504,0.8017229953611664
8,test,0.7218239170217273,0.7612732095490716
9,train,0.7064837172464629,0.7586481113320079
9,test,0.6727866657466801,0.7326259946949601
10,train,0.6919721006333962,0.7349237905897945
10,test,0.6538301252661498,0.6986737400530504
11,train,0.7655776104699353,0.814181577203446
11,test,0.7048275310635159,0.7681697612732096
12,train,0.6764196471908803,0.7178263750828363
12,test,0.6182539350889769,0.6748010610079576
13,train,0.7554771426277299,0.8090125911199469
13,test,0.6936245687824046,0.7591511936339523
14,train,0.7555311448595712,0.8200132538104705
14,test,0.6934667102026625,0.7724137931034483
15,train,0.8090320429145119,0.8576540755467197
15,test,0.7253177957489192,0.793633952254642
16,train,0.7813224173946713,0.8261100066269053
16,test,0.7148926154084374,0.7708222811671087
17,train,0.7234476927835064,0.7864811133200795
17,test,0.6614468126519939,0.7400530503978779
18,train,0.7982145063918837,0.84519549370444
18,test,0.7208347265823015,0.7787798408488064
19,train,0.816102121070611,0.8596421471172963
19,test,0.733417517268909,0.8026525198938992
20,train,0.6973885405279382,0.7687210072895958
20,test,0.6200737990336889,0.7087533156498674
21,train,0.7510428615598026,0.8149768058316766
21,test,0.6949031112374804,0.7692307692307693
22,train,0.7539187129572206,0.8006626905235256
22,test,0.6804903942474982,0.7411140583554376
23,train,0.8056071093887823,0.8392312789927104
23,test,0.7370755690390558,0.7856763925729443
24,train,0.7263206586308815,0.7855533465871438
24,test,0.6675856352060421,0.736870026525199
25,train,0.8455737089990567,0.8766070245195493
25,test,0.7434499033312827,0.8106100795755968
26,train,0.8083467876497534,0.8524850894632207
26,test,0.7104955957506105,0.7771883289124668
27,train,0.7440436054383079,0.7886017229953611
27,test,0.6675580977405808,0.7246684350132625
28,train,0.8596654041968786,0.894102054340623
28,test,0.736615211819505,0.8079575596816976
29,train,0.8498256183809992,0.8785950960901259
29,test,0.7527406924087457,0.8031830238726789
30,train,0.763877040543732,0.7817097415506957
30,test,0.6708270782855322,0.7076923076923077
31,train,0.7970806423361115,0.8381709741550696
31,test,0.7124731327345446,0.7713527851458886
32,train,0.7931059991412862,0.8457256461232604
